DS,Size,Op,OpCount,Cache,Misses
BadBisect,100000,Base,100000,D1mr,5198762
BadBisect,100000,Base,100000,DLmr,354067
BadBisect,100000,Base,100000,Dw,92927313
BadBisect,100000,Base,100000,D1mw,1614188
BadBisect,100000,Base,100000,DLmw,464696
SortedList,100000,Base,100000,Ir,485490251
SortedList,100000,Base,100000,I1mr,10155663
SortedList,100000,Base,100000,ILmr,46375
SortedList,100000,Base,100000,Dr,156247266
SortedList,100000,Base,100000,D1mr,5184755
SortedList,100000,Base,100000,DLmr,354186
SortedList,100000,Base,100000,Dw,92952039
SortedList,100000,Base,100000,D1mw,1618560
SortedList,100000,Base,100000,DLmw,465204
SortedArray,100000,Base,100000,Ir,485826586
SortedArray,100000,Base,100000,I1mr,10154689
SortedArray,100000,Base,100000,ILmr,46398
SortedArray,100000,Base,100000,Dr,156284421
SortedArray,100000,Base,100000,D1mr,5177575
SortedArray,100000,Base,100000,DLmr,353950
SortedArray,100000,Base,100000,Dw,92932783
SortedArray,100000,Base,100000,D1mw,1617306
SortedArray,100000,Base,100000,DLmw,464425
AutoLoad,100000,Base,100000,Ir,486662951
AutoLoad,100000,Base,100000,I1mr,10168329
AutoLoad,100000,Base,100000,ILmr,46413
AutoLoad,100000,Base,100000,Dr,156050124
AutoLoad,100000,Base,100000,D1mr,5171392
AutoLoad,100000,Base,100000,DLmr,353958
AutoLoad,100000,Base,100000,Dw,92527800
AutoLoad,100000,Base,100000,D1mw,1620190
AutoLoad,100000,Base,100000,DLmw,464803
RBSTree,100000,Base,100000,Ir,1655207218
RBSTree,100000,Base,100000,I1mr,18613880
RBSTree,100000,Base,100000,ILmr,52073
RBSTree,100000,Base,100000,Dr,557402274
RBSTree,100000,Base,100000,D1mr,13735091
RBSTree,100000,Base,100000,DLmr,358331
RBSTree,100000,Base,100000,Dw,325678038
RBSTree,100000,Base,100000,D1mw,14502613
RBSTree,100000,Base,100000,DLmw,748367
SkipList,100000,Base,100000,Ir,1237139493
SkipList,100000,Base,100000,I1mr,15630294
SkipList,100000,Base,100000,ILmr,51575
SkipList,100000,Base,100000,Dr,395359308
SkipList,100000,Base,100000,D1mr,8065924
SkipList,100000,Base,100000,DLmr,360467
SkipList,100000,Base,100000,Dw,217588956
SkipList,100000,Base,100000,D1mw,6814924
SkipList,100000,Base,100000,DLmw,698958
BadBisect,100000,Add,100000,Ir,779289088
BadBisect,100000,Add,100000,I1mr,11212561
BadBisect,100000,Add,100000,ILmr,49620
BadBisect,100000,Add,100000,Dr,252112586
BadBisect,100000,Add,100000,D1mr,5903057
BadBisect,100000,Add,100000,DLmr,358306
BadBisect,100000,Add,100000,Dw,173281121
BadBisect,100000,Add,100000,D1mw,3429226
BadBisect,100000,Add,100000,DLmw,511785
SortedList,100000,Add,100000,Ir,779099991
SortedList,100000,Add,100000,I1mr,11181834
SortedList,100000,Add,100000,ILmr,49782
SortedList,100000,Add,100000,Dr,252474373
SortedList,100000,Add,100000,D1mr,5903452
SortedList,100000,Add,100000,DLmr,357977
SortedList,100000,Add,100000,Dw,172895048
SortedList,100000,Add,100000,D1mw,3413127
SortedList,100000,Add,100000,DLmw,513961
SortedArray,100000,Add,100000,Ir,779117552
SortedArray,100000,Add,100000,I1mr,11253553
SortedArray,100000,Add,100000,ILmr,49609
SortedArray,100000,Add,100000,Dr,251739773
SortedArray,100000,Add,100000,D1mr,6164146
SortedArray,100000,Add,100000,DLmr,357518
SortedArray,100000,Add,100000,Dw,172855810
SortedArray,100000,Add,100000,D1mw,3396576
SortedArray,100000,Add,100000,DLmw,507267
AutoLoad,100000,Add,100000,Ir,697031285
AutoLoad,100000,Add,100000,I1mr,11775442
AutoLoad,100000,Add,100000,ILmr,50294
AutoLoad,100000,Add,100000,Dr,219803170
AutoLoad,100000,Add,100000,D1mr,6028156
AutoLoad,100000,Add,100000,DLmr,358533
AutoLoad,100000,Add,100000,Dw,136973309
AutoLoad,100000,Add,100000,D1mw,3375608
AutoLoad,100000,Add,100000,DLmw,507315
RBSTree,100000,Add,100000,Ir,2861728494
RBSTree,100000,Add,100000,I1mr,20046801
RBSTree,100000,Add,100000,ILmr,64805
RBSTree,100000,Add,100000,Dr,1004704740
